water_object_observation_point,rate_state_aquatic_ecosystem,ingredients
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",NO2
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Медь
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",NO3
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",NO2
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4Б Грязная""",Цинк
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Нефтепpод.
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4Б Грязная""","""Фенолы летуч."""
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",SO4
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""","""Фенолы летуч."""
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Никель
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Цинк
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""","""Окисл. Бихp."""
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",NO3
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Хлоpиды
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Хлоpиды
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""","""Железо общ."""
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",SO4
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""","""Окисл. Бихp."""
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4Б Грязная""",Никель
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",SO4
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3А Загрязненная""",Хлоpиды
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4Б Грязная""",Маpганец
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""4А Грязная""","""Окисл. Бихp."""
"""Р.ИЖМА,Д.КАРТАЙОЛЬ,0,2КМ НИЖЕ ДЕРЕВНИ""","""4А Грязная""",Нефтепpод.
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Маpганец
"""р.Кубань - ст-ца Ладожская""","""4А Грязная""",NO3
"""ВДХР БРАТСКОЕ - Г.УСОЛЬЕ-СИБИРСКОЕ 2""","""1 Условно чистая""",Хлоpиды
"""р.Белая - г.Бирск""","""3Б Очень загрязненная""","""Железо общ."""
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Нефтепpод.
"""р.УРАЛ - г.ВЕРХНЕУРАЛЬСК""","""3Б Очень загрязненная""",Медь
"""р.КАМА - пгт ГАЙНЫ""","""3Б Очень загрязненная""","""Железо общ."""
"""р.Лена - р.п.Качуг""","""2 Слабо загрязненная""",SO4
"""р.Белая - г.Стерлитамак""","""4А Грязная""",Цинк
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4В Очень грязная""",SO4
"""р.Индигирка - р.п.Чокурдах""","""3А Загрязненная""","""Железо общ."""
"""р.Лаба - х.Догужиев""","""3А Загрязненная""",Медь
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",NO3
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",NH4
"""р.Дон - г.Лиски""","""3А Загрязненная""",Медь
"""р.Лена - р.п.Качуг""","""2 Слабо загрязненная""",Нефтепpод.
"""р.Колыма - с.Колымское""","""3Б Очень загрязненная""",Pтуть
"""ИРКУТСКОЕ ВДХР (Р.АНГАРА), ИСТОК АНГАРЫ""","""1 Условно чистая""","""Железо общ."""
"""ВДХР БРАТСКОЕ - Г.УСОЛЬЕ-СИБИРСКОЕ 2""","""1 Условно чистая""",NH4
"""р.Лена - с.Табага""","""3Б Очень загрязненная""","""Железо общ."""
"""Р.УСА,С.УСТЬ—УСА,0,5КМ ВЫШЕ СЕЛА""","""4А Грязная""",NO3
"""р.Белая - г.Бирск""","""3Б Очень загрязненная""",Нефтепpод.
"""БАССЕЙН НЕМАНА""","""2 Слабо загрязненная, 3А Загрязненная""",NO2
"""р.Печора - с.Усть-Цильма""","""3Б Очень загрязненная""",Медь
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4Б Грязная""",NO3
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4Б Грязная""",Медь
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4Б Грязная""",Никель
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4Б Грязная""",Цинк
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Кислоpод
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",БПК5
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Медь
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Нефтепpод.
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3Б Очень загрязненная""",SO4
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Хлоpиды
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",NO3
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Кислоpод
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",SO4
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""","""Железо общ."""
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Маpганец
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Хлоpиды
"""р.Сухона - г.Великий Устюг""","""4А Грязная""",Кислоpод
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Нефтепpод.
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Хлоpиды
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",NO3
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""","""Окисл. Бихp."""
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",БПК5
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Хлоpиды
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4В Очень грязная""",NO3
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""","""Железо общ."""
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Маpганец
"""Р.ЛУГА - Г.КИНГИСЕПП""","""3А Загрязненная""",АСПАВ
"""Р.ТОМЬ - С.КОЗЮЛИНО""","""3А Загрязненная""",БПК5
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",NO3
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",NO3
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",NH4
"""р.Индигирка - р.п.Чокурдах""","""3А Загрязненная""",Маpганец
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""4А Грязная""",БПК5
"""р.Тауй - с.Талон""","""4А Грязная""",NO2
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4В Очень грязная""",БПК5
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3А Загрязненная""",Кислоpод
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Нефтепpод.
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Никель
"""р.Белая - г.Стерлитамак""","""4А Грязная""",SO4
"""ВДХР КАМСКОЕ - КАМСКАЯ ГЭС""","""3А Загрязненная""","""Фенолы летуч."""
"""Р.ОБЬ, Г.НОВОСИБИРСК 0.3 КМ НИЖЕ ПЛОТИНЫ ГЭС""","""4А Грязная""",Хлоpиды
"""ВДХР САРАТОВСКОЕ - Г.БАЛАКОВО""","""3А Загрязненная""",Кислоpод
"""р.Белая - г.Бирск""","""3Б Очень загрязненная""",Хлоpиды
"""р.Амгунь - с.Осипенко""","""4А Грязная""",NO3
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Медь
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""","""Железо общ."""
"""р.Авача - г.Елизово""","""3А Загрязненная""",SO4
"""ВДХР ЗЕЙСКОЕ - С.БОМНАК""","""4А Грязная""","""Окисл. Бихp."""
"""ВДХР САРАТОВСКОЕ - Г.БАЛАКОВО""","""3А Загрязненная""",БПК5
"""р.Обь - д.Белогорье""","""4А Грязная""",Никель
"""Р.ЕНИСЕЙ - КРАСНОЯРСКАЯ ГЭС""","""3А Загрязненная""",NO2
"""р.Кубань - ст-ца Ладожская""","""4А Грязная""","""Железо общ."""
"""р.Кубань - ст-ца Ладожская""","""4А Грязная""",БПК5
"""Р.ШИЛКА, Г.ШИЛКА 2 КМ НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",Медь
"""ВДХР ГОРЬКОВСКОЕ - Г.ЧКАЛОВСК""","""3Б Очень загрязненная""",Маpганец
"""р.Уссури - г.Лесозаводск""","""3А Загрязненная""",Алюминий
"""р.Раздольная - г.Уссурийск""","""4А Грязная""",БПК5
"""Р.ВОЛГА - РЫБИНСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",Кислоpод
"""р.Северная Двина - с.Усть-Пинега""","""3А Загрязненная""",Никель
"""р.Витим - г.Бодайбо""",,"""Окисл. Бихp."""
"""р.Лена - с.Кюсюр""","""3Б Очень загрязненная""",NH4
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",NO3
"""р.Камчатка - с.Пущино""","""2 Слабо загрязненная""",SO4
"""р.Спасовка - г.Спасск-Дальний""","""4А Грязная""",SO4
"""р.Сусуя - г.Южно-Сахалинск""","""4Б Грязная""",SO4
"""р.Кубань - ст-ца Ладожская""","""4А Грязная""",Медь
"""р.Сусуя - г.Южно-Сахалинск""","""4Б Грязная""",Хлоpиды
"""р.Белая - г.Уфа""","""3Б Очень загрязненная""",БПК5
"""р.Амур - с.Богородское""","""3Б Очень загрязненная""",Цинк
"""р.Белая - г.Уфа""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""р.Белая - г.Бирск""","""3Б Очень загрязненная""",NO3
"""Р.ДНЕПР,Г.СМОЛЕНСК,1,2КМ НИЖ ГОРОДА""","""4А Грязная""",NO2
"""р.Обь - г.Салехард""","""4Б Грязная""",Хлоpиды
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Кислоpод
"""р.Тауй - с.Талон""","""4А Грязная""",Маpганец
"""р.Тауй - с.Талон""","""4А Грязная""",SO4
"""р.Кулу - с.Кулу""","""3Б Очень загрязненная""",NO2
"""Р.ЛУГА - Г.КИНГИСЕПП""","""3А Загрязненная""",Цинк
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Хлоpиды
"""р.Лена - с.Кюсюр""","""3Б Очень загрязненная""",БПК5
"""Р.НЕВА - Д.НОВОСАРАТОВКА""","""3А Загрязненная""",NO3
"""БАССЕЙН ЛУГИ""","""3А Загрязненная, 3Б Очень загрязненная""",БПК5
"""р.Сухона - г.Великий Устюг""","""4А Грязная""",Цинк
"""КАМСКОЕ ВДХР.Г.СОЛИКАМСК 0,3КМ ВЫШЕ БОРОВСКОГО ЗАЛИВА""","""3Б Очень загрязненная""",БПК5
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",SO4
"""р.Охинка - г.Оха""","""4Б Грязная""",Цинк
"""р.Раздольная - г.Уссурийск""","""4А Грязная""",Никель
"""р.Сухона - г.Великий Устюг""","""4А Грязная""","""Железо общ."""
"""р.Дон - ст-ца Раздорская""","""4А Грязная""",Медь
"""р.Хопер - г.Новохоперск""","""3А Загрязненная""","""Окисл. Бихp."""
"""р.Урал - г.Оренбург""","""3А Загрязненная""",Никель
"""Р.ОКА - Г.ГОРБАТОВ""","""3А Загрязненная""",БПК5
"""р.Амгунь - с.Осипенко""","""4А Грязная""",Хлоpиды
"""р.Охинка - г.Оха""","""4Б Грязная""",Маpганец
"""р.Обь - г.Салехард""","""4Б Грязная""",Цинк
"""р.Кулу - с.Кулу""","""3Б Очень загрязненная""",Цинк
"""р.Дон - г.Лиски""","""3А Загрязненная""",SO4
"""р.Ока - г.Муром""","""4А Грязная""",Цинк
"""р.Иртыш - г.Ханты-Мансийск""","""4Б Грязная""",Хлоpиды
"""р.Тауй - с.Талон""","""4А Грязная""","""Окисл. Бихp."""
"""р.Сухона - г.Великий Устюг""","""4А Грязная""",Маpганец
"""р.Егорлык - с.Новый Егорлык""","""4А Грязная""",Магний
"""Р.КУБАНЬ, СТ.ЛАДОЖСКАЯ 0,2КМ НИЖЕ СТ.ЛАДОЖСКАЯ""","""3Б Очень загрязненная""",Цинк
"""Р.ИРТЫШ, Г.ОМСК 7КМ НИЖЕ П.БЕРЕГОВОЙ""","""3А Загрязненная""","""Фенолы летуч."""
"""р.Дон - Цимлянская ГЭС(нижний бьеф)""","""3А Загрязненная""",Нефтепpод.
"""Р.ДОН - ЦИМЛЯНСКАЯ ГЭС""","""3А Загрязненная""",NO2
"""р.Иртыш - г.Омск""","""3А Загрязненная""",NO2
"""р.Кулу - с.Кулу""","""3Б Очень загрязненная""",Кислоpод
"""р.Авача - г.Елизово""","""3А Загрязненная""",Кислоpод
"""ВДХР КАМСКОЕ - КАМСКАЯ ГЭС""","""3А Загрязненная""",SO4
"""р.Камчатка - с.Пущино""","""2 Слабо загрязненная""",Кислоpод
"""р.Печора - с.Усть-Цильма""","""3Б Очень загрязненная""",NH4
"""р.Индигирка - р.п.Чокурдах""","""3А Загрязненная""",Pтуть
"""р.Поной - с.Краснощелье""","""3А Загрязненная""",Никель
"""Р.ПАТСО-ЙОКИ, БОРИСОГЛЕБСКАЯ Г 1.1КМ НИЖЕ ПЛОТИНЫ ГЭС""","""3А Загрязненная""",NH4
"""БАССЕЙН МЕЗЕНИ""","""3Б Очень загрязненная, 4А Грязная""",SO4
"""Р.КУБАНЬ, Г.ТЕМРЮК 3КМ НИЖЕ ГОРОДА""","""3А Загрязненная""","""Фенолы летуч."""
"""р.Сулак - с.Миатлы""","""3Б Очень загрязненная""",Медь
"""Р.ОБЬ - Г.КОЛПАШЕВО""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""р.Раздольная - г.Уссурийск""","""4А Грязная""",NH4
"""р.Амур - г.Хабаровск""","""3А Загрязненная""",Медь
"""р.Сухона - г.Великий Устюг""","""4А Грязная""",Медь
"""р.Егорлык - с.Новый Егорлык""","""4А Грязная""",Нефтепpод.
"""Р.ПЕЧОРА,Г.НАРЬЯН—МАР,1КМ НИЖЕ ГОРОДА""","""4А Грязная""","""Железо общ."""
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",NH4
"""Р.ОБЬ - Г.БАРНАУЛ""","""3Б Очень загрязненная""",Фосфаты
"""р.Волга - с.Верхнее Лебяжье""","""3Б Очень загрязненная""",Кислоpод
"""р.Обь - г.Салехард""","""4Б Грязная""",NO2
"""р.Волга - с.Верхнее Лебяжье""","""3Б Очень загрязненная""",Цинк
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",NO3
"""р.Рудная - г.Дальнегорск""","""4Б Грязная""",Маpганец
"""р.Лаба - х.Догужиев""","""3А Загрязненная""",NO3
"""р.Обь - г.Салехард""","""4Б Грязная""",Кислоpод
"""р.Енисей - г.Дивногорск""","""3А Загрязненная""",NO3
"""р.Егорлык - с.Новый Егорлык""","""4А Грязная""",БПК5
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",SO4
"""р.Авача - г.Елизово""","""3А Загрязненная""",NH4
"""р.Сулак - с.Миатлы""","""3Б Очень загрязненная""",NO2
"""р.Лаба - х.Догужиев""","""3А Загрязненная""",БПК5
"""ВДХР ИВАНЬКОВСКОЕ - Г.ДУБНА""","""3Б Очень загрязненная""",NO3
"""ВДХР КАМСКОЕ - Д.УСТЬ-ПОЖВА""","""4А Грязная""",NH4
"""р.Обь - д.Белогорье""","""4А Грязная""",Нефтепpод.
"""р.Обь - г.Салехард""","""4Б Грязная""",БПК5
"""р.Витим - г.Бодайбо""",,Медь
"""р.Дон - ст-ца Раздорская""","""4А Грязная""",NH4
"""р.Витим - г.Бодайбо""",,NO3
"""ВДХР АРТЕМОВСКОЕ - С.МНОГОУДОБНОЕ""","""3А Загрязненная""",NH4
"""Р.УСА,С.УСТЬ—УСА,0,5КМ ВЫШЕ СЕЛА""","""4А Грязная""",NO2
"""р.Обь - д.Белогорье""","""4А Грязная""",БПК5
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",NO3
"""Р.ВОЛГА - РЫБИНСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",Медь
"""р.Волга - г.Волгоград""","""3Б Очень загрязненная""",SO4
"""р.Урал - г.Оренбург""","""3А Загрязненная""",NO2
"""р.Вилюй - г.Вилюйск""","""3Б Очень загрязненная""",NO3
"""р.Вилюй - г.Вилюйск""","""3Б Очень загрязненная""",NO2
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",БПК5
"""р.Иртыш - г.Ханты-Мансийск""","""4Б Грязная""",Медь
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",Кислоpод
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",NO2
"""р.Вилюй - г.Вилюйск""","""3Б Очень загрязненная""",NH4
"""Р.ВОЛГА - РЫБИНСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",NO3
"""р.Белая - г.Уфа""","""3Б Очень загрязненная""",NH4
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",NH4
"""р.Урал - г.Оренбург""","""3А Загрязненная""",Кислоpод
"""р.Амгунь - с.Осипенко""","""4А Грязная""",SO4
"""р.Колыма - пос.Усть-Среднекан""","""4А Грязная""",Цинк
"""р.Енисей - г.Дивногорск""","""3А Загрязненная""",БПК5
"""р.Обь - г.Салехард""","""4Б Грязная""","""Железо общ."""
"""р.Сусуя - г.Южно-Сахалинск""","""4Б Грязная""","""Окисл. Бихp."""
"""р.Северский Донец - г.Белая Калитва""","""4А Грязная""",Медь
"""р.Терек - г.Владикавказ""","""3Б Очень загрязненная""",NH4
"""р.Сусуя - г.Южно-Сахалинск""","""4Б Грязная""",Цинк
"""р.Индигирка - р.п.Чокурдах""","""3А Загрязненная""",SO4
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3А Загрязненная""",Цинк
"""р.Неман - г.Советск""","""3А Загрязненная""",NO2
"""Р.УСА,С.УСТЬ—УСА,0,5КМ ВЫШЕ СЕЛА""","""4А Грязная""","""Окисл. Бихp."""
"""р.Онега - с.Порог""","""3Б Очень загрязненная""",Цинк
"""р.Дон - ст-ца Раздорская""","""4А Грязная""",Хлоpиды
"""Р.ВОЛХОВ,Г.НОВАЯ ЛАДОГА 1,2К НИЖЕ ГОРОДА""","""3А Загрязненная""",Свинец
"""р.Кулу - с.Кулу""","""3Б Очень загрязненная""",SO4
"""р.Иртыш - г.Ханты-Мансийск""","""4Б Грязная""",Маpганец
"""Р.ИЖМА,Д.КАРТАЙОЛЬ,0,2КМ НИЖЕ ДЕРЕВНИ""","""4А Грязная""",БПК5
"""р.Мезень - д.Малонисогорская""","""3Б Очень загрязненная""",Медь
"""р.Ангара - д.Татарка""","""3Б Очень загрязненная""",NO3
"""р.Северский Донец - г.Белая Калитва""","""4А Грязная""","""Фенолы летуч."""
"""р.Обь - д.Белогорье""","""4А Грязная""",NH4
"""Р.ВОЛГА - РЫБИНСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",Хлоpиды
"""Р.ОБЬ - Г.БАРНАУЛ""","""3Б Очень загрязненная""",NO3
"""р.Северский Донец - г.Белая Калитва""","""4А Грязная""","""Окисл. Бихp."""
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК ,3 КМ ОТ Г. СТЕРЛИТАМАК""","""4А Грязная""",NO2
"""ВДХР ВОТКИНСКОЕ - Г.ЧАЙКОВСКИЙ""","""3А Загрязненная""",NO3
"""Р.ВОЛГА - УГЛИЧСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",Медь
"""вдхр.Рыбинское - мкр.Переборы""","""3Б Очень загрязненная""",NO3
"""Р.ВОЛГА - ЧЕБОКСАРСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",SO4
"""р.Охинка - г.Оха""","""4Б Грязная""",Хлоpиды
"""Р.ОКА - Г.ГОРБАТОВ""","""3А Загрязненная""",Маpганец
"""Р.ОКА - Г.ГОРБАТОВ""","""3А Загрязненная""",SO4
"""ВДХР НИЖНЕКАМСКОЕ - С.КАРАКУЛИНО""","""3Б Очень загрязненная""",NH4
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""4А Грязная""",NH4
"""р.Ока - г.Калуга""","""3Б Очень загрязненная""",Хлоpиды
"""р.Ока - г.Коломна""","""4А Грязная""",Хлоpиды
"""р.Кума - с.Владимировка""","""3Б Очень загрязненная""",Кислоpод
"""р.Онега - с.Порог""","""3Б Очень загрязненная""",Кислоpод
"""р.Белая - г.Уфа""","""3Б Очень загрязненная""",Кислоpод
"""р.Белая - г.Уфа""","""3Б Очень загрязненная""",SO4
"""Р.КУБАНЬ, Г.ТЕМРЮК 3КМ НИЖЕ ГОРОДА""","""3А Загрязненная""",NO2
"""р.Белая - г.Бирск""","""3Б Очень загрязненная""",NH4
"""Р.ДНЕПР,Г.СМОЛЕНСК,1,2КМ НИЖ ГОРОДА""","""4А Грязная""","""Окисл. Бихp."""
"""р.Белая - г.Уфа""","""3Б Очень загрязненная""",NO3
"""р.Авача - г.Елизово""","""3А Загрязненная""",БПК5
"""Р.САЛ, УСТЬЕ 19КМ ВЫШЕ УСТЬЯ""","""4А Грязная""",NO3
"""р.Раздольная - г.Уссурийск""","""4А Грязная""",NO2
"""р.Сусуя - г.Южно-Сахалинск""","""4Б Грязная""",Нефтепpод.
"""р.Ока - г.Коломна""","""4А Грязная""",Нефтепpод.
"""р.Амур - с.Богородское""","""3Б Очень загрязненная""",Медь
"""р.Ока - г.Коломна""","""4А Грязная""","""Железо общ."""
"""р.Охинка - г.Оха""","""4Б Грязная""",БПК5
"""Р.КОМАРОВКА, Г.УССУРИЙСК В Ч Г.УССУРИСК""","""4А Грязная""",БПК5
"""р.Ока - г.Муром""","""4А Грязная""",NO3
"""р.Кума - с.Владимировка""","""3Б Очень загрязненная""",Цинк
"""р.Ока - г.Муром""","""4А Грязная""",БПК5
"""р.Урал - г.Оренбург""","""3А Загрязненная""",SO4
"""р.Егорлык - с.Новый Егорлык""","""4А Грязная""","""Окисл. Бихp."""
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",NH4
"""р.Ока - г.Коломна""","""4А Грязная""",Никель
"""р.Ока - г.Коломна""","""4А Грязная""",NO2
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Хлоpиды
"""Р.ВОЛГА - УГЛИЧСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",Цинк
"""р.Кума - с.Владимировка""","""3Б Очень загрязненная""",Хлоpиды
"""Р.ВОЛГА - ИВАНЬКОВСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",NO3
"""ВДХР ИВАНЬКОВСКОЕ - Г.ДУБНА""","""3Б Очень загрязненная""","""Железо общ."""
"""р.Ока - г.Коломна""","""4А Грязная""",NH4
"""р.Сухона - г.Великий Устюг""","""4А Грязная""",Нефтепpод.
"""р.Белая - г.Стерлитамак""","""4А Грязная""",NH4
"""р.Сухона - г.Великий Устюг""","""4А Грязная""",Никель
"""Р.БЕЛАЯ, Г.УФА 22,2 КМ НИЖЕ Г""","""3А Загрязненная""",Цинк
"""р.Сухона - г.Великий Устюг""","""4А Грязная""",Алюминий
"""ВДХР ЧЕБОКСАРСКОЕ - Г.ЧЕБОКСАРЫ""","""3Б Очень загрязненная""",Цинк
"""ОТВ.КАНАЛ НИВА—ГЭС—III, Г.КАНДА ЛАКША, 0.2КМ ВЫШЕ УС""","""2 Слабо загрязненная""",NO2
"""Р.ПАТСО-ЙОКИ, БОРИСОГЛЕБСКАЯ Г 1.1КМ НИЖЕ ПЛОТИНЫ ГЭС""","""3А Загрязненная""",SO4
